num_colors,num_conflicts,num_spilling,num_iter,time,converge,equilibrio,t_iter
8,0,66,22248,24.81250,1000,100,10
8,0,65,20508,23.25000,1000,100,25
8,0,67,22366,25.03125,1000,100,50
8,0,66,21242,23.96875,1000,100,100
12,0,57,19258,21.25000,1000,100,10
12,0,58,19320,21.43750,1000,100,25
12,0,59,19324,21.42188,1000,100,50
12,0,59,19580,21.54688,1000,100,100
8,0,66,22248,25.03125,1000,100,10
8,0,65,20508,23.23438,1000,100,25
8,0,67,22366,25.03125,1000,100,50
8,0,66,21242,23.96875,1000,100,100
12,0,57,19258,21.26562,1000,100,10
12,0,58,19320,22.06250,1000,100,25
12,0,59,19324,22.29688,1000,100,50
12,0,59,19580,21.65625,1000,100,100
8,0,66,22248,24.79688,1000,100,10
8,0,65,20508,23.23438,1000,100,25
8,0,67,22366,25.06250,1000,100,50
8,0,66,21242,23.95312,1000,100,100
12,0,57,19258,21.45312,1000,100,10
12,0,58,19320,21.56250,1000,100,25
12,0,59,19324,21.59375,1000,100,50
12,0,59,19580,21.78125,1000,100,100
8,0,66,22248,24.84375,1000,100,10
8,0,65,20508,23.28125,1000,100,25
8,0,67,22366,25.25000,1000,100,50
8,0,66,21242,24.01562,1000,100,100
12,0,57,19258,21.34375,1000,100,10
12,0,58,19320,21.45312,1000,100,25
12,0,59,19324,21.48438,1000,100,50
12,0,59,19580,21.64062,1000,100,100
8,0,66,22248,25.26562,1000,100,10
8,0,65,20508,23.23438,1000,100,25
8,0,67,22366,25.07812,1000,100,50
8,0,66,21242,24.00000,1000,100,100
12,0,57,19258,21.39062,1000,100,10
12,0,58,19320,21.59375,1000,100,25
12,0,59,19324,21.57812,1000,100,50
12,0,59,19580,21.68750,1000,100,100
8,0,66,22248,24.78125,1000,100,10
8,0,65,20508,23.20312,1000,100,25
8,0,67,22366,25.01562,1000,100,50
8,0,66,21242,24.15625,1000,100,100
12,0,57,19258,21.37500,1000,100,10
12,0,58,19320,21.98438,1000,100,25
12,0,59,19324,21.53125,1000,100,50
12,0,59,19580,21.65625,1000,100,100
8,0,66,22248,25.04688,1000,100,10
8,0,65,20508,23.31250,1000,100,25
8,0,67,22366,25.10938,1000,100,50
8,0,66,21242,24.09375,1000,100,100
12,0,57,19258,21.37500,1000,100,10
12,0,58,19320,21.60938,1000,100,25
12,0,59,19324,21.56250,1000,100,50
12,0,59,19580,21.70312,1000,100,100
8,0,66,22248,25.01562,1000,100,10
8,0,65,20508,23.37500,1000,100,25
8,0,67,22366,25.15625,1000,100,50
8,0,66,21242,24.10938,1000,100,100
12,0,57,19258,21.37500,1000,100,10
12,0,58,19320,21.51562,1000,100,25
12,0,59,19324,21.57812,1000,100,50
12,0,59,19580,21.68750,1000,100,100
8,0,66,22248,24.93750,1000,100,10
8,0,65,20508,23.37500,1000,100,25
8,0,67,22366,25.10938,1000,100,50
8,0,66,21242,24.09375,1000,100,100
12,0,57,19258,21.40625,1000,100,10
12,0,58,19320,21.53125,1000,100,25
12,0,59,19324,21.54688,1000,100,50
12,0,59,19580,21.68750,1000,100,100
8,0,66,22248,25.00000,1000,100,10
8,0,65,20508,23.32812,1000,100,25
8,0,67,22366,25.15625,1000,100,50
8,0,66,21242,24.06250,1000,100,100
12,0,57,19258,21.45312,1000,100,10
12,0,58,19320,21.60938,1000,100,25
12,0,59,19324,21.56250,1000,100,50
12,0,59,19580,21.70312,1000,100,100
8,0,66,22248,25.10938,1000,100,10
8,0,65,20508,23.42188,1000,100,25
8,0,67,22366,25.25000,1000,100,50
8,0,66,21242,24.23438,1000,100,100
12,0,57,19258,21.46875,1000,100,10
12,0,58,19320,21.67188,1000,100,25
12,0,59,19324,21.65625,1000,100,50
12,0,59,19580,21.82812,1000,100,100
8,0,66,22248,25.04688,1000,100,10
8,0,65,20508,23.42188,1000,100,25
8,0,67,22366,25.18750,1000,100,50
8,0,66,21242,24.21875,1000,100,100
12,0,57,19258,21.50000,1000,100,10
12,0,58,19320,22.32812,1000,100,25
12,0,59,19324,21.64062,1000,100,50
12,0,59,19580,21.93750,1000,100,100
8,0,66,22248,24.95312,1000,100,10
8,0,65,20508,23.40625,1000,100,25
8,0,67,22366,25.18750,1000,100,50
8,0,66,21242,24.14062,1000,100,100
12,0,57,19258,21.40625,1000,100,10
12,0,58,19320,21.51562,1000,100,25
12,0,59,19324,21.56250,1000,100,50
12,0,59,19580,21.67188,1000,100,100
8,0,66,22248,24.96875,1000,100,10
8,0,65,20508,23.39062,1000,100,25
8,0,67,22366,25.31250,1000,100,50
8,0,66,21242,24.04688,1000,100,100
12,0,57,19258,21.40625,1000,100,10
12,0,58,19320,21.54688,1000,100,25
12,0,59,19324,21.64062,1000,100,50
12,0,59,19580,21.75000,1000,100,100
