num_colors,num_conflicts,num_spilling,num_iter,time,converge,equilibrio,t_iter
8,0,67,32520,1206.25000,1000,100,10
8,0,69,33673,1247.73438,1000,100,25
8,0,67,34897,1299.60938,1000,100,50
8,0,68,33661,1255.67188,1000,100,100
12,0,50,23717,822.71875,1000,100,10
12,0,50,23717,821.46875,1000,100,25
12,0,47,22939,797.01562,1000,100,50
12,0,48,24441,848.07812,1000,100,100
8,0,67,32520,1206.35938,1000,100,10
8,0,69,33673,1246.64062,1000,100,25
8,0,67,34897,1297.89062,1000,100,50
8,0,68,33661,1248.92188,1000,100,100
12,0,50,23717,825.46875,1000,100,10
12,0,50,23717,823.81250,1000,100,25
12,0,47,22939,798.35938,1000,100,50
12,0,48,24441,848.56250,1000,100,100
8,0,67,32520,1205.64062,1000,100,10
8,0,69,33673,1246.68750,1000,100,25
8,0,67,34897,1297.70312,1000,100,50
8,0,68,33661,1249.20312,1000,100,100
12,0,50,23717,830.67188,1000,100,10
12,0,50,23717,826.29688,1000,100,25
12,0,47,22939,800.59375,1000,100,50
12,0,48,24441,1802.79688,1000,100,100
8,0,67,32520,1213.46875,1000,100,10
8,0,69,33673,1254.84375,1000,100,25
8,0,67,34897,1301.87500,1000,100,50
8,0,68,33661,1252.84375,1000,100,100
12,0,50,23717,824.43750,1000,100,10
12,0,50,23717,824.62500,1000,100,25
12,0,47,22939,798.92188,1000,100,50
12,0,48,24441,850.82812,1000,100,100
