num_colors,num_conflicts,num_spilling,num_iter,time,converge,equilibrio,t_iter
8,0,50,17037,13.35938,1000,100,10
8,0,51,16539,13.04688,1000,100,25
8,0,51,17567,13.65625,1000,100,50
8,0,52,16646,12.93750,1000,100,100
12,0,50,14669,11.07812,1000,100,10
12,0,47,15081,11.48438,1000,100,25
12,0,50,15149,11.48438,1000,100,50
12,0,48,14523,11.06250,1000,100,100
8,0,50,17037,13.39062,1000,100,10
8,0,51,16539,13.00000,1000,100,25
8,0,51,17567,13.64062,1000,100,50
8,0,52,16646,12.95312,1000,100,100
12,0,50,14669,11.10938,1000,100,10
12,0,47,15081,11.48438,1000,100,25
12,0,50,15149,11.48438,1000,100,50
12,0,48,14523,11.04688,1000,100,100
8,0,50,17037,13.35938,1000,100,10
8,0,51,16539,13.01562,1000,100,25
8,0,51,17567,13.64062,1000,100,50
8,0,52,16646,12.93750,1000,100,100
12,0,50,14669,22.96875,1000,100,10
12,0,47,15081,24.14062,1000,100,25
12,0,50,15149,23.87500,1000,100,50
12,0,48,14523,23.21875,1000,100,100
8,0,50,17037,13.42188,1000,100,10
8,0,51,16539,13.04688,1000,100,25
8,0,51,17567,13.68750,1000,100,50
8,0,52,16646,13.00000,1000,100,100
12,0,50,14669,11.12500,1000,100,10
12,0,47,15081,11.50000,1000,100,25
12,0,50,15149,11.46875,1000,100,50
12,0,48,14523,11.07812,1000,100,100
8,0,50,17037,13.35938,1000,100,10
8,0,51,16539,14.95312,1000,100,25
8,0,51,17567,13.82812,1000,100,50
8,0,52,16646,13.28125,1000,100,100
12,0,50,14669,11.23438,1000,100,10
12,0,47,15081,11.62500,1000,100,25
12,0,50,15149,11.59375,1000,100,50
12,0,48,14523,11.18750,1000,100,100
8,0,50,17037,13.35938,1000,100,10
8,0,51,16539,13.03125,1000,100,25
8,0,51,17567,13.64062,1000,100,50
8,0,52,16646,12.95312,1000,100,100
12,0,50,14669,11.10938,1000,100,10
12,0,47,15081,11.51562,1000,100,25
12,0,50,15149,11.48438,1000,100,50
12,0,48,14523,11.04688,1000,100,100
8,0,50,17037,13.51562,1000,100,10
8,0,51,16539,13.14062,1000,100,25
8,0,51,17567,13.75000,1000,100,50
8,0,52,16646,13.10938,1000,100,100
12,0,50,14669,11.18750,1000,100,10
12,0,47,15081,11.59375,1000,100,25
12,0,50,15149,11.59375,1000,100,50
12,0,48,14523,11.17188,1000,100,100
8,0,50,17037,13.50000,1000,100,10
8,0,51,16539,13.09375,1000,100,25
8,0,51,17567,13.79688,1000,100,50
8,0,52,16646,13.07812,1000,100,100
12,0,50,14669,11.21875,1000,100,10
12,0,47,15081,11.62500,1000,100,25
12,0,50,15149,11.59375,1000,100,50
12,0,48,14523,11.15625,1000,100,100
8,0,50,17037,13.45312,1000,100,10
8,0,51,16539,13.10938,1000,100,25
8,0,51,17567,13.78125,1000,100,50
8,0,52,16646,13.09375,1000,100,100
12,0,50,14669,11.25000,1000,100,10
12,0,47,15081,11.64062,1000,100,25
12,0,50,15149,11.60938,1000,100,50
12,0,48,14523,11.15625,1000,100,100
8,0,50,17037,13.53125,1000,100,10
8,0,51,16539,13.10938,1000,100,25
8,0,51,17567,13.76562,1000,100,50
8,0,52,16646,13.04688,1000,100,100
12,0,50,14669,11.20312,1000,100,10
12,0,47,15081,11.81250,1000,100,25
12,0,50,15149,11.59375,1000,100,50
12,0,48,14523,11.21875,1000,100,100
8,0,50,17037,13.59375,1000,100,10
8,0,51,16539,13.12500,1000,100,25
8,0,51,17567,13.89062,1000,100,50
8,0,52,16646,13.14062,1000,100,100
12,0,50,14669,11.21875,1000,100,10
12,0,47,15081,11.65625,1000,100,25
12,0,50,15149,11.62500,1000,100,50
12,0,48,14523,11.18750,1000,100,100
8,0,50,17037,13.67188,1000,100,10
8,0,51,16539,13.14062,1000,100,25
8,0,51,17567,13.81250,1000,100,50
8,0,52,16646,13.12500,1000,100,100
12,0,50,14669,11.32812,1000,100,10
12,0,47,15081,12.15625,1000,100,25
12,0,50,15149,11.59375,1000,100,50
12,0,48,14523,11.28125,1000,100,100
8,0,50,17037,13.48438,1000,100,10
8,0,51,16539,13.09375,1000,100,25
8,0,51,17567,13.73438,1000,100,50
8,0,52,16646,13.12500,1000,100,100
12,0,50,14669,11.18750,1000,100,10
12,0,47,15081,11.59375,1000,100,25
12,0,50,15149,11.59375,1000,100,50
12,0,48,14523,11.21875,1000,100,100
8,0,50,17037,13.54688,1000,100,10
8,0,51,16539,13.17188,1000,100,25
8,0,51,17567,13.78125,1000,100,50
8,0,52,16646,13.09375,1000,100,100
12,0,50,14669,11.18750,1000,100,10
12,0,47,15081,11.67188,1000,100,25
12,0,50,15149,11.59375,1000,100,50
12,0,48,14523,11.15625,1000,100,100
