num_colors,num_conflicts,num_spilling,num_iter,time,converge,equilibrio,t_iter
8,0,41,14696,18.04688,1000,100,10
8,0,42,15023,18.59375,1000,100,25
8,0,42,14294,17.56250,1000,100,50
8,0,41,13929,17.18750,1000,100,100
12,0,37,12186,14.71875,1000,100,10
12,0,35,11447,13.85938,1000,100,25
12,0,36,12344,14.76562,1000,100,50
12,0,36,11890,14.23438,1000,100,100
8,0,41,14696,18.04688,1000,100,10
8,0,42,15023,18.46875,1000,100,25
8,0,42,14294,17.57812,1000,100,50
8,0,41,13929,17.18750,1000,100,100
12,0,37,12186,14.64062,1000,100,10
12,0,35,11447,13.81250,1000,100,25
12,0,36,12344,14.75000,1000,100,50
12,0,36,11890,14.25000,1000,100,100
8,0,41,14696,18.03125,1000,100,10
8,0,42,15023,18.68750,1000,100,25
8,0,42,14294,17.60938,1000,100,50
8,0,41,13929,17.17188,1000,100,100
12,0,37,12186,14.71875,1000,100,10
12,0,35,11447,13.90625,1000,100,25
12,0,36,12344,14.84375,1000,100,50
12,0,36,11890,14.34375,1000,100,100
8,0,41,14696,18.10938,1000,100,10
8,0,42,15023,18.53125,1000,100,25
8,0,42,14294,17.60938,1000,100,50
8,0,41,13929,17.25000,1000,100,100
12,0,37,12186,14.64062,1000,100,10
12,0,35,11447,13.84375,1000,100,25
12,0,36,12344,14.76562,1000,100,50
12,0,36,11890,14.42188,1000,100,100
8,0,41,14696,18.06250,1000,100,10
8,0,42,15023,18.51562,1000,100,25
8,0,42,14294,17.56250,1000,100,50
8,0,41,13929,17.21875,1000,100,100
12,0,37,12186,14.81250,1000,100,10
12,0,35,11447,13.93750,1000,100,25
12,0,36,12344,14.89062,1000,100,50
12,0,36,11890,14.37500,1000,100,100
8,0,41,14696,18.04688,1000,100,10
8,0,42,15023,18.46875,1000,100,25
8,0,42,14294,17.53125,1000,100,50
8,0,41,13929,17.17188,1000,100,100
12,0,37,12186,14.76562,1000,100,10
12,0,35,11447,13.95312,1000,100,25
12,0,36,12344,14.84375,1000,100,50
12,0,36,11890,14.37500,1000,100,100
8,0,41,14696,18.14062,1000,100,10
8,0,42,15023,18.57812,1000,100,25
8,0,42,14294,17.65625,1000,100,50
8,0,41,13929,17.34375,1000,100,100
12,0,37,12186,14.73438,1000,100,10
12,0,35,11447,13.92188,1000,100,25
12,0,36,12344,15.06250,1000,100,50
12,0,36,11890,14.76562,1000,100,100
8,0,41,14696,18.28125,1000,100,10
8,0,42,15023,18.60938,1000,100,25
8,0,42,14294,17.64062,1000,100,50
8,0,41,13929,17.32812,1000,100,100
12,0,37,12186,14.78125,1000,100,10
12,0,35,11447,13.98438,1000,100,25
12,0,36,12344,15.03125,1000,100,50
12,0,36,11890,14.35938,1000,100,100
8,0,41,14696,18.14062,1000,100,10
8,0,42,15023,18.64062,1000,100,25
8,0,42,14294,17.71875,1000,100,50
8,0,41,13929,17.34375,1000,100,100
12,0,37,12186,14.78125,1000,100,10
12,0,35,11447,13.93750,1000,100,25
12,0,36,12344,14.98438,1000,100,50
12,0,36,11890,14.35938,1000,100,100
8,0,41,14696,18.17188,1000,100,10
8,0,42,15023,18.60938,1000,100,25
8,0,42,14294,17.65625,1000,100,50
8,0,41,13929,17.26562,1000,100,100
12,0,37,12186,14.73438,1000,100,10
12,0,35,11447,13.96875,1000,100,25
12,0,36,12344,14.84375,1000,100,50
12,0,36,11890,14.34375,1000,100,100
8,0,41,14696,19.06250,1000,100,10
8,0,42,15023,18.65625,1000,100,25
8,0,42,14294,17.71875,1000,100,50
8,0,41,13929,17.32812,1000,100,100
12,0,37,12186,14.79688,1000,100,10
12,0,35,11447,14.00000,1000,100,25
12,0,36,12344,14.87500,1000,100,50
12,0,36,11890,14.43750,1000,100,100
8,0,41,14696,18.26562,1000,100,10
8,0,42,15023,18.65625,1000,100,25
8,0,42,14294,17.64062,1000,100,50
8,0,41,13929,17.39062,1000,100,100
12,0,37,12186,14.85938,1000,100,10
12,0,35,11447,14.03125,1000,100,25
12,0,36,12344,14.95312,1000,100,50
12,0,36,11890,14.39062,1000,100,100
8,0,41,14696,18.17188,1000,100,10
8,0,42,15023,18.64062,1000,100,25
8,0,42,14294,17.60938,1000,100,50
8,0,41,13929,17.29688,1000,100,100
12,0,37,12186,14.76562,1000,100,10
12,0,35,11447,13.89062,1000,100,25
12,0,36,12344,14.87500,1000,100,50
12,0,36,11890,14.76562,1000,100,100
8,0,41,14696,18.21875,1000,100,10
8,0,42,15023,18.64062,1000,100,25
8,0,42,14294,17.67188,1000,100,50
8,0,41,13929,17.34375,1000,100,100
12,0,37,12186,14.76562,1000,100,10
12,0,35,11447,13.95312,1000,100,25
12,0,36,12344,14.82812,1000,100,50
12,0,36,11890,14.37500,1000,100,100
