num_colors,num_conflicts,num_spilling,num_iter,time,converge,equilibrio,t_iter
8,0,73,24778,20.62500,1000,100,10
8,0,73,25344,20.98438,1000,100,25
8,0,72,24384,20.37500,1000,100,50
8,0,75,24681,20.37500,1000,100,100
12,0,67,23615,19.09375,1000,100,10
12,0,68,22935,18.60938,1000,100,25
12,0,69,23439,19.00000,1000,100,50
12,0,68,22908,18.40625,1000,100,100
8,0,73,24778,20.65625,1000,100,10
8,0,73,25344,21.07812,1000,100,25
8,0,72,24384,20.39062,1000,100,50
8,0,75,24681,20.37500,1000,100,100
12,0,67,23615,19.12500,1000,100,10
12,0,68,22935,18.62500,1000,100,25
12,0,69,23439,18.98438,1000,100,50
12,0,68,22908,18.43750,1000,100,100
8,0,73,24778,20.65625,1000,100,10
8,0,73,25344,21.03125,1000,100,25
8,0,72,24384,20.39062,1000,100,50
8,0,75,24681,20.35938,1000,100,100
12,0,67,23615,40.68750,1000,100,10
12,0,68,22935,39.79688,1000,100,25
12,0,69,23439,40.56250,1000,100,50
12,0,68,22908,39.04688,1000,100,100
8,0,73,24778,20.70312,1000,100,10
8,0,73,25344,21.09375,1000,100,25
8,0,72,24384,20.42188,1000,100,50
8,0,75,24681,20.42188,1000,100,100
12,0,67,23615,19.15625,1000,100,10
12,0,68,22935,18.67188,1000,100,25
12,0,69,23439,19.01562,1000,100,50
12,0,68,22908,18.51562,1000,100,100
8,0,73,24778,20.60938,1000,100,10
8,0,73,25344,21.00000,1000,100,25
8,0,72,24384,20.48438,1000,100,50
8,0,75,24681,20.39062,1000,100,100
12,0,67,23615,19.18750,1000,100,10
12,0,68,22935,18.75000,1000,100,25
12,0,69,23439,19.14062,1000,100,50
12,0,68,22908,18.54688,1000,100,100
8,0,73,24778,20.67188,1000,100,10
8,0,73,25344,21.01562,1000,100,25
8,0,72,24384,20.39062,1000,100,50
8,0,75,24681,20.37500,1000,100,100
12,0,67,23615,19.07812,1000,100,10
12,0,68,22935,18.64062,1000,100,25
12,0,69,23439,19.01562,1000,100,50
12,0,68,22908,18.43750,1000,100,100
8,0,73,24778,20.76562,1000,100,10
8,0,73,25344,21.15625,1000,100,25
8,0,72,24384,20.48438,1000,100,50
8,0,75,24681,20.53125,1000,100,100
12,0,67,23615,19.26562,1000,100,10
12,0,68,22935,18.75000,1000,100,25
12,0,69,23439,19.14062,1000,100,50
12,0,68,22908,19.04688,1000,100,100
8,0,73,24778,21.23438,1000,100,10
8,0,73,25344,21.23438,1000,100,25
8,0,72,24384,20.46875,1000,100,50
8,0,75,24681,20.53125,1000,100,100
12,0,67,23615,19.23438,1000,100,10
12,0,68,22935,18.75000,1000,100,25
12,0,69,23439,19.10938,1000,100,50
12,0,68,22908,18.53125,1000,100,100
8,0,73,24778,20.79688,1000,100,10
8,0,73,25344,21.10938,1000,100,25
8,0,72,24384,20.50000,1000,100,50
8,0,75,24681,20.53125,1000,100,100
12,0,67,23615,19.21875,1000,100,10
12,0,68,22935,18.73438,1000,100,25
12,0,69,23439,19.07812,1000,100,50
12,0,68,22908,18.59375,1000,100,100
8,0,73,24778,20.78125,1000,100,10
8,0,73,25344,21.12500,1000,100,25
8,0,72,24384,20.46875,1000,100,50
8,0,75,24681,20.48438,1000,100,100
12,0,67,23615,19.29688,1000,100,10
12,0,68,22935,18.92188,1000,100,25
12,0,69,23439,19.17188,1000,100,50
12,0,68,22908,18.53125,1000,100,100
8,0,73,24778,20.89062,1000,100,10
8,0,73,25344,21.28125,1000,100,25
8,0,72,24384,20.54688,1000,100,50
8,0,75,24681,20.51562,1000,100,100
12,0,67,23615,19.40625,1000,100,10
12,0,68,22935,18.82812,1000,100,25
12,0,69,23439,19.21875,1000,100,50
12,0,68,22908,18.60938,1000,100,100
8,0,73,24778,20.96875,1000,100,10
8,0,73,25344,21.18750,1000,100,25
8,0,72,24384,20.78125,1000,100,50
8,0,75,24681,20.64062,1000,100,100
12,0,67,23615,19.28125,1000,100,10
12,0,68,22935,18.85938,1000,100,25
12,0,69,23439,19.18750,1000,100,50
12,0,68,22908,18.60938,1000,100,100
8,0,73,24778,20.76562,1000,100,10
8,0,73,25344,21.10938,1000,100,25
8,0,72,24384,20.50000,1000,100,50
8,0,75,24681,20.54688,1000,100,100
12,0,67,23615,19.18750,1000,100,10
12,0,68,22935,18.79688,1000,100,25
12,0,69,23439,19.14062,1000,100,50
12,0,68,22908,18.50000,1000,100,100
8,0,73,24778,20.79688,1000,100,10
8,0,73,25344,21.10938,1000,100,25
8,0,72,24384,20.51562,1000,100,50
8,0,75,24681,20.51562,1000,100,100
12,0,67,23615,19.25000,1000,100,10
12,0,68,22935,18.75000,1000,100,25
12,0,69,23439,19.12500,1000,100,50
12,0,68,22908,18.56250,1000,100,100
