num_colors,num_conflicts,num_spilling,num_iter,time,converge,equilibrio,t_iter
8,0,69,33794,1403.85938,1000,100,10
8,0,73,36851,1528.54688,1000,100,25
8,0,66,34728,1447.35938,1000,100,50
8,0,69,34489,1434.35938,1000,100,100
12,0,48,24492,951.26562,1000,100,10
12,0,45,23358,910.67188,1000,100,25
12,0,44,23622,921.28125,1000,100,50
12,0,49,24005,930.95312,1000,100,100
8,0,69,33794,1403.46875,1000,100,10
8,0,73,36851,1528.35938,1000,100,25
8,0,66,34728,1446.90625,1000,100,50
8,0,69,34489,1434.79688,1000,100,100
12,0,48,24492,2104.67188,1000,100,10
12,0,45,23358,1576.64062,1000,100,25
12,0,44,23622,974.98438,1000,100,50
12,0,49,24005,931.42188,1000,100,100
8,0,69,33794,1406.06250,1000,100,10
8,0,73,36851,1529.79688,1000,100,25
8,0,66,34728,1447.65625,1000,100,50
8,0,69,34489,1433.92188,1000,100,100
12,0,48,24492,951.07812,1000,100,10
12,0,45,23358,913.60938,1000,100,25
12,0,44,23622,922.37500,1000,100,50
12,0,49,24005,932.84375,1000,100,100
8,0,69,33794,1406.28125,1000,100,10
8,0,73,36851,1534.96875,1000,100,25
8,0,66,34728,1451.04688,1000,100,50
8,0,69,34489,1438.75000,1000,100,100
12,0,48,24492,953.78125,1000,100,10
12,0,45,23358,913.48438,1000,100,25
12,0,44,23622,924.00000,1000,100,50
12,0,49,24005,933.89062,1000,100,100
