num_colors,num_conflicts,num_spilling,num_iter,time,converge,equilibrio,t_iter
8,0,62,26591,364.59375,1000,100,10
8,0,54,125542,1720.37500,1000,1000,10
8,0,54,264646,3638.18750,1000,2500,10
8,0,62,26591,366.28125,1000,100,10
8,0,58,26526,365.95312,1000,100,25
8,0,59,26169,362.46875,1000,100,50
8,0,57,25221,350.15625,1000,100,100
12,0,49,19909,258.06250,1000,100,10
12,0,44,18505,241.65625,1000,100,25
12,0,44,18324,239.32812,1000,100,50
12,0,47,19997,262.70312,1000,100,100
8,0,62,26591,364.84375,1000,100,10
8,0,58,26526,365.48438,1000,100,25
8,0,59,26169,361.92188,1000,100,50
8,0,57,25221,348.53125,1000,100,100
12,0,49,19909,258.20312,1000,100,10
12,0,44,18505,241.64062,1000,100,25
12,0,44,18324,239.50000,1000,100,50
12,0,47,19997,261.54688,1000,100,100
8,0,62,26591,366.32812,1000,100,10
8,0,58,26526,365.67188,1000,100,25
8,0,59,26169,362.17188,1000,100,50
8,0,57,25221,348.93750,1000,100,100
12,0,49,19909,258.04688,1000,100,10
12,0,44,18505,241.64062,1000,100,25
12,0,44,18324,239.45312,1000,100,50
12,0,47,19997,261.84375,1000,100,100
8,0,62,26591,366.54688,1000,100,10
8,0,58,26526,366.53125,1000,100,25
8,0,59,26169,363.26562,1000,100,50
8,0,57,25221,350.89062,1000,100,100
12,0,49,19909,258.46875,1000,100,10
12,0,44,18505,242.25000,1000,100,25
12,0,44,18324,240.12500,1000,100,50
12,0,47,19997,262.04688,1000,100,100
8,0,62,26591,365.65625,1000,100,10
8,0,58,26526,366.46875,1000,100,25
8,0,59,26169,362.78125,1000,100,50
8,0,57,25221,349.60938,1000,100,100
8,0,62,26591,800.62500,1000,100,10
8,0,58,26526,800.75000,1000,100,25
8,0,59,26169,570.40625,1000,100,50
8,0,57,25221,349.84375,1000,100,100
12,0,49,19909,258.45312,1000,100,10
12,0,44,18505,242.28125,1000,100,25
12,0,44,18324,239.73438,1000,100,50
12,0,47,19997,261.75000,1000,100,100
8,0,62,26591,365.18750,1000,100,10
8,0,58,26526,366.21875,1000,100,25
8,0,59,26169,365.07812,1000,100,50
8,0,57,25221,349.07812,1000,100,100
12,0,49,19909,258.04688,1000,100,10
12,0,44,18505,241.73438,1000,100,25
12,0,44,18324,239.57812,1000,100,50
12,0,47,19997,261.59375,1000,100,100
8,0,62,26591,365.85938,1000,100,10
8,0,58,26526,366.53125,1000,100,25
8,0,59,26169,362.93750,1000,100,50
8,0,57,25221,349.35938,1000,100,100
12,0,49,19909,258.28125,1000,100,10
12,0,44,18505,241.82812,1000,100,25
12,0,44,18324,239.64062,1000,100,50
12,0,47,19997,261.73438,1000,100,100
8,0,62,26591,365.14062,1000,100,10
8,0,58,26526,365.98438,1000,100,25
8,0,59,26169,362.42188,1000,100,50
8,0,57,25221,349.35938,1000,100,100
12,0,49,19909,258.37500,1000,100,10
12,0,44,18505,242.20312,1000,100,25
12,0,44,18324,239.62500,1000,100,50
12,0,47,19997,261.98438,1000,100,100
8,0,62,26591,365.10938,1000,100,10
8,0,58,26526,366.17188,1000,100,25
8,0,59,26169,362.23438,1000,100,50
8,0,57,25221,348.96875,1000,100,100
12,0,49,19909,258.56250,1000,100,10
12,0,44,18505,241.85938,1000,100,25
12,0,44,18324,239.45312,1000,100,50
12,0,47,19997,261.73438,1000,100,100
8,0,62,26591,365.09375,1000,100,10
8,0,58,26526,366.20312,1000,100,25
8,0,59,26169,362.68750,1000,100,50
8,0,57,25221,349.01562,1000,100,100
12,0,49,19909,258.48438,1000,100,10
12,0,44,18505,241.85938,1000,100,25
12,0,44,18324,239.90625,1000,100,50
12,0,47,19997,262.15625,1000,100,100
8,0,62,26591,366.35938,1000,100,10
8,0,58,26526,367.04688,1000,100,25
8,0,59,26169,363.31250,1000,100,50
8,0,57,25221,350.15625,1000,100,100
12,0,49,19909,258.98438,1000,100,10
12,0,44,18505,242.65625,1000,100,25
12,0,44,18324,240.20312,1000,100,50
12,0,47,19997,262.21875,1000,100,100
8,0,62,26591,366.09375,1000,100,10
8,0,58,26526,366.82812,1000,100,25
8,0,59,26169,363.46875,1000,100,50
8,0,57,25221,349.81250,1000,100,100
12,0,49,19909,259.04688,1000,100,10
12,0,44,18505,242.75000,1000,100,25
12,0,44,18324,240.51562,1000,100,50
12,0,47,19997,262.51562,1000,100,100
8,0,62,26591,365.35938,1000,100,10
8,0,58,26526,365.96875,1000,100,25
8,0,59,26169,362.78125,1000,100,50
8,0,57,25221,349.15625,1000,100,100
12,0,49,19909,258.43750,1000,100,10
12,0,44,18505,241.92188,1000,100,25
12,0,44,18324,239.56250,1000,100,50
12,0,47,19997,261.71875,1000,100,100
8,0,62,26591,365.40625,1000,100,10
8,0,58,26526,365.84375,1000,100,25
8,0,59,26169,362.37500,1000,100,50
8,0,57,25221,350.15625,1000,100,100
12,0,49,19909,258.17188,1000,100,10
12,0,44,18505,241.84375,1000,100,25
12,0,44,18324,239.84375,1000,100,50
12,0,47,19997,261.92188,1000,100,100
