num_colors,num_conflicts,num_spilling,num_iter,time,converge,equilibrio,t_iter
8,0,52,16635,12.57812,1000,100,10
8,0,52,16941,12.87500,1000,100,25
8,0,50,16601,12.67188,1000,100,50
8,0,52,17296,13.14062,1000,100,100
12,0,47,14643,10.92188,1000,100,10
12,0,47,14309,10.64062,1000,100,25
12,0,47,14508,10.84375,1000,100,50
12,0,47,14664,10.90625,1000,100,100
8,0,52,16635,12.56250,1000,100,10
8,0,52,16941,12.89062,1000,100,25
8,0,50,16601,12.70312,1000,100,50
8,0,52,17296,13.14062,1000,100,100
12,0,47,14643,10.90625,1000,100,10
12,0,47,14309,10.64062,1000,100,25
12,0,47,14508,10.87500,1000,100,50
12,0,47,14664,10.89062,1000,100,100
8,0,52,16635,12.53125,1000,100,10
8,0,52,16941,12.89062,1000,100,25
8,0,50,16601,12.79688,1000,100,50
8,0,52,17296,13.18750,1000,100,100
12,0,47,14643,10.98438,1000,100,10
12,0,47,14309,10.71875,1000,100,25
12,0,47,14508,11.12500,1000,100,50
12,0,47,14664,11.25000,1000,100,100
8,0,52,16635,12.57812,1000,100,10
8,0,52,16941,12.93750,1000,100,25
8,0,50,16601,12.78125,1000,100,50
8,0,52,17296,13.23438,1000,100,100
12,0,47,14643,10.92188,1000,100,10
12,0,47,14309,10.65625,1000,100,25
12,0,47,14508,10.87500,1000,100,50
12,0,47,14664,10.93750,1000,100,100
8,0,52,16635,12.54688,1000,100,10
8,0,52,16941,12.92188,1000,100,25
8,0,50,16601,12.68750,1000,100,50
8,0,52,17296,13.20312,1000,100,100
12,0,47,14643,10.96875,1000,100,10
12,0,47,14309,10.78125,1000,100,25
12,0,47,14508,11.01562,1000,100,50
12,0,47,14664,11.04688,1000,100,100
8,0,52,16635,12.54688,1000,100,10
8,0,52,16941,12.89062,1000,100,25
8,0,50,16601,12.67188,1000,100,50
8,0,52,17296,13.17188,1000,100,100
12,0,47,14643,11.09375,1000,100,10
12,0,47,14309,10.73438,1000,100,25
12,0,47,14508,11.25000,1000,100,50
12,0,47,14664,11.06250,1000,100,100
8,0,52,16635,12.64062,1000,100,10
8,0,52,16941,13.04688,1000,100,25
8,0,50,16601,12.85938,1000,100,50
8,0,52,17296,13.31250,1000,100,100
12,0,47,14643,11.00000,1000,100,10
12,0,47,14309,10.75000,1000,100,25
12,0,47,14508,10.95312,1000,100,50
12,0,47,14664,11.04688,1000,100,100
8,0,52,16635,12.67188,1000,100,10
8,0,52,16941,13.01562,1000,100,25
8,0,50,16601,12.82812,1000,100,50
8,0,52,17296,13.26562,1000,100,100
12,0,47,14643,11.01562,1000,100,10
12,0,47,14309,10.76562,1000,100,25
12,0,47,14508,11.06250,1000,100,50
12,0,47,14664,11.03125,1000,100,100
8,0,52,16635,12.70312,1000,100,10
8,0,52,16941,13.00000,1000,100,25
8,0,50,16601,12.79688,1000,100,50
8,0,52,17296,13.31250,1000,100,100
12,0,47,14643,11.07812,1000,100,10
12,0,47,14309,10.79688,1000,100,25
12,0,47,14508,11.00000,1000,100,50
12,0,47,14664,11.03125,1000,100,100
8,0,52,16635,12.65625,1000,100,10
8,0,52,16941,13.00000,1000,100,25
8,0,50,16601,12.79688,1000,100,50
8,0,52,17296,13.29688,1000,100,100
12,0,47,14643,11.04688,1000,100,10
12,0,47,14309,10.78125,1000,100,25
12,0,47,14508,10.96875,1000,100,50
12,0,47,14664,11.00000,1000,100,100
8,0,52,16635,12.65625,1000,100,10
8,0,52,16941,13.04688,1000,100,25
8,0,50,16601,12.90625,1000,100,50
8,0,52,17296,13.28125,1000,100,100
12,0,47,14643,11.09375,1000,100,10
12,0,47,14309,10.85938,1000,100,25
12,0,47,14508,11.00000,1000,100,50
12,0,47,14664,11.06250,1000,100,100
8,0,52,16635,12.85938,1000,100,10
8,0,52,16941,13.29688,1000,100,25
8,0,50,16601,12.85938,1000,100,50
8,0,52,17296,13.48438,1000,100,100
12,0,47,14643,11.17188,1000,100,10
12,0,47,14309,10.76562,1000,100,25
12,0,47,14508,11.07812,1000,100,50
12,0,47,14664,11.06250,1000,100,100
8,0,52,16635,12.70312,1000,100,10
8,0,52,16941,13.07812,1000,100,25
8,0,50,16601,12.78125,1000,100,50
8,0,52,17296,13.29688,1000,100,100
12,0,47,14643,11.03125,1000,100,10
12,0,47,14309,10.75000,1000,100,25
12,0,47,14508,10.96875,1000,100,50
12,0,47,14664,11.03125,1000,100,100
8,0,52,16635,12.71875,1000,100,10
8,0,52,16941,13.03125,1000,100,25
8,0,50,16601,12.78125,1000,100,50
8,0,52,17296,13.35938,1000,100,100
12,0,47,14643,11.07812,1000,100,10
12,0,47,14309,10.79688,1000,100,25
12,0,47,14508,11.01562,1000,100,50
12,0,47,14664,11.03125,1000,100,100
