num_colors,num_conflicts,num_spilling,num_iter,time,converge,equilibrio,t_iter
8,0,52,17813,13.25000,1000,100,10
8,0,50,16472,12.37500,1000,100,25
8,0,51,15937,11.81250,1000,100,50
8,0,52,16887,12.54688,1000,100,100
12,0,47,14385,10.43750,1000,100,10
12,0,48,14906,10.82812,1000,100,25
12,0,50,14695,10.59375,1000,100,50
12,0,44,14295,10.53125,1000,100,100
8,0,52,17813,13.23438,1000,100,10
8,0,50,16472,12.46875,1000,100,25
8,0,51,15937,11.79688,1000,100,50
8,0,52,16887,12.59375,1000,100,100
12,0,47,14385,10.42188,1000,100,10
12,0,48,14906,10.81250,1000,100,25
12,0,50,14695,10.60938,1000,100,50
12,0,44,14295,10.54688,1000,100,100
8,0,52,17813,13.29688,1000,100,10
8,0,50,16472,12.34375,1000,100,25
8,0,51,15937,11.78125,1000,100,50
8,0,52,16887,12.56250,1000,100,100
12,0,47,14385,21.42188,1000,100,10
12,0,48,14906,22.20312,1000,100,25
12,0,50,14695,22.00000,1000,100,50
12,0,44,14295,15.06250,1000,100,100
8,0,52,17813,13.26562,1000,100,10
8,0,50,16472,12.42188,1000,100,25
8,0,51,15937,11.79688,1000,100,50
8,0,52,16887,12.57812,1000,100,100
12,0,47,14385,10.45312,1000,100,10
12,0,48,14906,10.82812,1000,100,25
12,0,50,14695,10.64062,1000,100,50
12,0,44,14295,10.53125,1000,100,100
8,0,52,17813,13.75000,1000,100,10
8,0,50,16472,12.35938,1000,100,25
8,0,51,15937,11.84375,1000,100,50
8,0,52,16887,12.57812,1000,100,100
12,0,47,14385,10.51562,1000,100,10
12,0,48,14906,10.90625,1000,100,25
12,0,50,14695,10.73438,1000,100,50
12,0,44,14295,10.65625,1000,100,100
8,0,52,17813,13.25000,1000,100,10
8,0,50,16472,12.35938,1000,100,25
8,0,51,15937,11.81250,1000,100,50
8,0,52,16887,12.56250,1000,100,100
12,0,47,14385,10.43750,1000,100,10
12,0,48,14906,10.81250,1000,100,25
12,0,50,14695,10.62500,1000,100,50
12,0,44,14295,10.98438,1000,100,100
8,0,52,17813,13.43750,1000,100,10
8,0,50,16472,12.45312,1000,100,25
8,0,51,15937,11.92188,1000,100,50
8,0,52,16887,12.71875,1000,100,100
12,0,47,14385,10.53125,1000,100,10
12,0,48,14906,10.93750,1000,100,25
12,0,50,14695,10.73438,1000,100,50
12,0,44,14295,10.67188,1000,100,100
8,0,52,17813,13.37500,1000,100,10
8,0,50,16472,12.46875,1000,100,25
8,0,51,15937,11.95312,1000,100,50
8,0,52,16887,12.70312,1000,100,100
12,0,47,14385,10.59375,1000,100,10
12,0,48,14906,10.98438,1000,100,25
12,0,50,14695,10.73438,1000,100,50
12,0,44,14295,10.65625,1000,100,100
8,0,52,17813,13.35938,1000,100,10
8,0,50,16472,12.51562,1000,100,25
8,0,51,15937,11.93750,1000,100,50
8,0,52,16887,12.71875,1000,100,100
12,0,47,14385,10.59375,1000,100,10
12,0,48,14906,10.90625,1000,100,25
12,0,50,14695,10.71875,1000,100,50
12,0,44,14295,10.67188,1000,100,100
8,0,52,17813,13.39062,1000,100,10
8,0,50,16472,12.50000,1000,100,25
8,0,51,15937,11.92188,1000,100,50
8,0,52,16887,12.73438,1000,100,100
12,0,47,14385,10.56250,1000,100,10
12,0,48,14906,10.90625,1000,100,25
12,0,50,14695,10.70312,1000,100,50
12,0,44,14295,10.62500,1000,100,100
8,0,52,17813,13.42188,1000,100,10
8,0,50,16472,12.54688,1000,100,25
8,0,51,15937,11.98438,1000,100,50
8,0,52,16887,12.73438,1000,100,100
12,0,47,14385,10.57812,1000,100,10
12,0,48,14906,11.03125,1000,100,25
12,0,50,14695,10.73438,1000,100,50
12,0,44,14295,10.68750,1000,100,100
8,0,52,17813,13.42188,1000,100,10
8,0,50,16472,12.50000,1000,100,25
8,0,51,15937,11.96875,1000,100,50
8,0,52,16887,12.71875,1000,100,100
12,0,47,14385,10.65625,1000,100,10
12,0,48,14906,10.98438,1000,100,25
12,0,50,14695,10.84375,1000,100,50
12,0,44,14295,10.70312,1000,100,100
8,0,52,17813,13.37500,1000,100,10
8,0,50,16472,12.51562,1000,100,25
8,0,51,15937,11.95312,1000,100,50
8,0,52,16887,12.71875,1000,100,100
12,0,47,14385,10.57812,1000,100,10
12,0,48,14906,10.92188,1000,100,25
12,0,50,14695,10.70312,1000,100,50
12,0,44,14295,10.67188,1000,100,100
8,0,52,17813,13.39062,1000,100,10
8,0,50,16472,12.50000,1000,100,25
8,0,51,15937,11.93750,1000,100,50
8,0,52,16887,12.68750,1000,100,100
12,0,47,14385,10.56250,1000,100,10
12,0,48,14906,10.93750,1000,100,25
12,0,50,14695,10.75000,1000,100,50
12,0,44,14295,10.64062,1000,100,100
