num_colors,num_conflicts,num_spilling,num_iter,time,converge,equilibrio,temp
8,0,83,417,2.32812,100,100,10
8,0,83,417,2.17188,250,100,10
8,0,83,417,2.31250,500,100,10
8,0,76,380,5.43750,100,250,10
8,0,76,380,5.31250,250,250,10
8,0,76,380,5.28125,500,250,10
8,0,72,364,10.20312,100,500,10
8,0,72,364,10.18750,250,500,10
8,0,72,364,10.18750,500,500,10
8,0,75,833,4.64062,100,100,25
8,0,75,833,4.73438,250,100,25
8,0,75,833,4.67188,500,100,25
8,0,68,749,11.01562,100,250,25
8,0,68,749,10.92188,250,250,25
8,0,68,749,10.92188,500,250,25
8,0,69,766,21.82812,100,500,25
8,0,69,766,21.95312,250,500,25
8,0,69,766,22.00000,500,500,25
8,0,73,1256,7.79688,100,100,50
8,0,73,1256,7.51562,250,100,50
8,0,73,1256,7.60938,500,100,50
8,0,70,1199,19.64062,100,250,50
8,0,70,1199,17.06250,250,250,50
8,0,70,1199,17.00000,500,250,50
8,0,65,1121,33.26562,100,500,50
8,0,65,1121,33.10938,250,500,50
8,0,65,1121,33.07812,500,500,50
8,0,76,1755,9.65625,100,100,100
8,0,76,1755,9.67188,250,100,100
8,0,76,1755,9.67188,500,100,100
8,0,68,1573,22.79688,100,250,100
8,0,68,1573,22.81250,250,250,100
8,0,68,1573,22.70312,500,250,100
8,0,67,1554,45.10938,100,500,100
8,0,67,1554,45.07812,250,500,100
8,0,67,1554,45.12500,500,500,100
12,0,64,321,1.87500,100,100,10
12,0,64,321,1.73438,250,100,10
12,0,64,321,1.73438,500,100,10
12,0,65,327,4.37500,100,250,10
12,0,65,327,4.35938,250,250,10
12,0,65,327,4.37500,500,250,10
12,0,65,328,8.70312,100,500,10
12,0,65,328,8.71875,250,500,10
12,0,65,328,8.70312,500,500,10
12,0,69,763,3.93750,100,100,25
12,0,69,763,3.93750,250,100,25
12,0,69,763,4.10938,500,100,25
12,0,66,736,9.78125,100,250,25
12,0,66,736,9.68750,250,250,25
12,0,66,736,9.67188,500,250,25
12,0,67,737,19.46875,100,500,25
12,0,67,737,19.48438,250,500,25
12,0,67,737,19.50000,500,500,25
12,0,67,1146,6.01562,100,100,50
12,0,67,1146,6.01562,250,100,50
12,0,67,1146,6.01562,500,100,50
12,0,61,1048,14.31250,100,250,50
12,0,61,1048,14.32812,250,250,50
12,0,61,1048,14.34375,500,250,50
12,0,58,992,27.93750,100,500,50
12,0,58,992,27.92188,250,500,50
12,0,58,992,28.04688,500,500,50
12,0,59,1357,7.60938,100,100,100
12,0,59,1357,7.64062,250,100,100
12,0,59,1357,7.67188,500,100,100
12,0,63,1470,20.73438,100,250,100
12,0,63,1470,19.73438,250,250,100
12,0,63,1470,19.73438,500,250,100
12,0,63,1469,39.84375,100,500,100
12,0,63,1469,39.76562,250,500,100
12,0,63,1469,39.65625,500,500,100
8,0,83,417,2.20312,100,100,10
8,0,83,417,2.17188,250,100,10
8,0,83,417,2.18750,500,100,10
8,0,76,380,5.20312,100,250,10
8,0,76,380,5.20312,250,250,10
8,0,76,380,5.20312,500,250,10
8,0,72,364,10.04688,100,500,10
8,0,72,364,10.09375,250,500,10
8,0,72,364,10.06250,500,500,10
8,0,75,833,4.54688,100,100,25
8,0,75,833,4.53125,250,100,25
8,0,75,833,4.56250,500,100,25
8,0,68,749,10.89062,100,250,25
8,0,68,749,10.93750,250,250,25
8,0,68,749,10.89062,500,250,25
8,0,69,766,21.87500,100,500,25
8,0,69,766,21.89062,250,500,25
8,0,69,766,21.85938,500,500,25
8,0,73,1256,6.92188,100,100,50
8,0,73,1256,6.93750,250,100,50
8,0,73,1256,6.93750,500,100,50
8,0,70,1199,16.87500,100,250,50
8,0,70,1199,16.92188,250,250,50
8,0,70,1199,16.87500,500,250,50
8,0,65,1121,32.98438,100,500,50
8,0,65,1121,32.93750,250,500,50
8,0,65,1121,33.03125,500,500,50
8,0,76,1755,9.51562,100,100,100
8,0,76,1755,9.51562,250,100,100
8,0,76,1755,9.53125,500,100,100
8,0,68,1573,22.65625,100,250,100
8,0,68,1573,22.73438,250,250,100
8,0,68,1573,22.68750,500,250,100
8,0,67,1554,45.07812,100,500,100
8,0,67,1554,45.12500,250,500,100
8,0,67,1554,45.25000,500,500,100
12,0,64,321,1.75000,100,100,10
12,0,64,321,1.75000,250,100,10
12,0,64,321,1.73438,500,100,10
12,0,65,327,4.40625,100,250,10
12,0,65,327,4.39062,250,250,10
12,0,65,327,4.35938,500,250,10
12,0,65,328,8.70312,100,500,10
12,0,65,328,8.68750,250,500,10
12,0,65,328,8.68750,500,500,10
12,0,69,763,3.93750,100,100,25
12,0,69,763,3.96875,250,100,25
12,0,69,763,3.93750,500,100,25
12,0,66,736,9.71875,100,250,25
12,0,66,736,9.70312,250,250,25
12,0,66,736,9.67188,500,250,25
12,0,67,737,19.48438,100,500,25
12,0,67,737,19.50000,250,500,25
12,0,67,737,19.46875,500,500,25
12,0,67,1146,6.03125,100,100,50
12,0,67,1146,6.01562,250,100,50
12,0,67,1146,6.00000,500,100,50
12,0,61,1048,14.32812,100,250,50
12,0,61,1048,14.31250,250,250,50
12,0,61,1048,14.31250,500,250,50
12,0,58,992,27.81250,100,500,50
12,0,58,992,28.01562,250,500,50
12,0,58,992,27.89062,500,500,50
12,0,59,1357,7.64062,100,100,100
12,0,59,1357,7.64062,250,100,100
12,0,59,1357,7.68750,500,100,100
12,0,63,1470,19.71875,100,250,100
12,0,63,1470,19.73438,250,250,100
12,0,63,1470,19.78125,500,250,100
12,0,63,1469,39.54688,100,500,100
12,0,63,1469,39.54688,250,500,100
12,0,63,1469,39.64062,500,500,100
8,0,83,417,2.17188,100,100,10
8,0,83,417,2.20312,250,100,10
8,0,83,417,2.18750,500,100,10
8,0,76,380,5.21875,100,250,10
8,0,76,380,5.20312,250,250,10
