num_colors,num_conflicts,num_spilling,num_iter,time,converge,equilibrio,temp
8,0,71,355,2.09375,100,100,10
8,0,71,355,2.06250,250,100,10
8,0,71,355,2.15625,500,100,10
8,0,70,354,5.17188,100,250,10
8,0,70,354,5.14062,250,250,10
8,0,70,354,5.14062,500,250,10
8,0,73,367,10.37500,100,500,10
8,0,73,367,10.40625,250,500,10
8,0,73,367,10.42188,500,500,10
8,0,74,823,4.70312,100,100,25
8,0,74,823,4.71875,250,100,25
8,0,74,823,4.70312,500,100,25
8,0,68,752,10.98438,100,250,25
8,0,68,752,11.01562,250,250,25
8,0,68,752,11.06250,500,250,25
8,0,70,770,22.06250,100,500,25
8,0,70,770,22.07812,250,500,25
8,0,70,770,22.17188,500,500,25
8,0,72,1240,7.15625,100,100,50
8,0,72,1240,7.14062,250,100,50
8,0,72,1240,7.15625,500,100,50
8,0,69,1173,17.10938,100,250,50
8,0,69,1173,17.09375,250,250,50
8,0,69,1173,17.10938,500,250,50
8,0,67,1139,33.60938,100,500,50
8,0,67,1139,33.51562,250,500,50
8,0,67,1139,33.54688,500,500,50
8,0,71,1655,9.46875,100,100,100
8,0,71,1655,9.53125,250,100,100
8,0,71,1655,9.50000,500,100,100
8,0,73,1679,23.71875,100,250,100
8,0,73,1679,23.60938,250,250,100
8,0,73,1679,23.65625,500,250,100
8,0,66,1522,45.09375,100,500,100
8,0,66,1522,45.12500,250,500,100
8,0,66,1522,45.03125,500,500,100
12,0,68,341,1.93750,100,100,10
12,0,68,341,1.82812,250,100,10
12,0,68,341,1.79688,500,100,10
12,0,65,325,4.50000,100,250,10
12,0,65,325,4.53125,250,250,10
12,0,65,325,4.43750,500,250,10
12,0,62,311,8.70312,100,500,10
12,0,62,311,8.59375,250,500,10
12,0,62,311,8.68750,500,500,10
12,0,59,654,3.71875,100,100,25
12,0,59,654,3.71875,250,100,25
12,0,59,654,3.73438,500,100,25
12,0,67,738,9.78125,100,250,25
12,0,67,738,9.81250,250,250,25
12,0,67,738,9.79688,500,250,25
12,0,61,672,18.71875,100,500,25
12,0,61,672,18.82812,250,500,25
12,0,61,672,18.85938,500,500,25
12,0,69,1173,6.26562,100,100,50
12,0,69,1173,6.79688,250,100,50
12,0,69,1173,6.56250,500,100,50
12,0,61,1046,15.59375,100,250,50
12,0,61,1046,14.46875,250,250,50
12,0,61,1046,14.48438,500,250,50
12,0,58,990,28.53125,100,500,50
12,0,58,990,30.65625,250,500,50
12,0,58,990,28.32812,500,500,50
12,0,65,1500,8.09375,100,100,100
12,0,65,1500,8.07812,250,100,100
12,0,65,1500,8.09375,500,100,100
12,0,65,1503,20.28125,100,250,100
12,0,65,1503,20.34375,250,250,100
12,0,65,1503,20.26562,500,250,100
12,0,61,1418,39.23438,100,500,100
12,0,61,1418,39.25000,250,500,100
12,0,61,1418,39.18750,500,500,100
8,0,71,355,2.04688,100,100,10
8,0,71,355,2.06250,250,100,10
8,0,71,355,2.04688,500,100,10
8,0,70,354,5.04688,100,250,10
8,0,70,354,5.03125,250,250,10
8,0,70,354,5.21875,500,250,10
8,0,73,367,10.29688,100,500,10
8,0,73,367,10.28125,250,500,10
8,0,73,367,10.28125,500,500,10
8,0,74,823,4.59375,100,100,25
8,0,74,823,4.60938,250,100,25
8,0,74,823,4.57812,500,100,25
8,0,68,752,10.93750,100,250,25
8,0,68,752,10.92188,250,250,25
8,0,68,752,10.90625,500,250,25
8,0,70,770,22.03125,100,500,25
8,0,70,770,22.03125,250,500,25
8,0,70,770,21.98438,500,500,25
8,0,72,1240,7.03125,100,100,50
8,0,72,1240,7.00000,250,100,50
8,0,72,1240,7.01562,500,100,50
8,0,69,1173,16.98438,100,250,50
8,0,69,1173,17.00000,250,250,50
8,0,69,1173,17.01562,500,250,50
8,0,67,1139,33.40625,100,500,50
8,0,67,1139,33.45312,250,500,50
8,0,67,1139,33.60938,500,500,50
8,0,71,1655,9.39062,100,100,100
8,0,71,1655,9.39062,250,100,100
8,0,71,1655,9.39062,500,100,100
8,0,73,1679,23.53125,100,250,100
8,0,73,1679,23.59375,250,250,100
8,0,73,1679,23.51562,500,250,100
8,0,66,1522,44.96875,100,500,100
8,0,66,1522,45.15625,250,500,100
8,0,66,1522,44.93750,500,500,100
12,0,68,341,1.82812,100,100,10
12,0,68,341,1.78125,250,100,10
12,0,68,341,1.78125,500,100,10
12,0,65,325,4.42188,100,250,10
12,0,65,325,4.39062,250,250,10
12,0,65,325,4.39062,500,250,10
12,0,62,311,8.56250,100,500,10
12,0,62,311,8.56250,250,500,10
12,0,62,311,8.57812,500,500,10
12,0,59,654,3.70312,100,100,25
12,0,59,654,3.70312,250,100,25
12,0,59,654,3.73438,500,100,25
12,0,67,738,9.79688,100,250,25
12,0,67,738,9.81250,250,250,25
12,0,67,738,9.81250,500,250,25
12,0,61,672,18.89062,100,500,25
12,0,61,672,18.78125,250,500,25
12,0,61,672,18.78125,500,500,25
12,0,69,1173,6.15625,100,100,50
12,0,69,1173,6.29688,250,100,50
12,0,69,1173,6.17188,500,100,50
12,0,61,1046,14.54688,100,250,50
12,0,61,1046,14.53125,250,250,50
12,0,61,1046,14.56250,500,250,50
12,0,58,990,28.01562,100,500,50
12,0,58,990,28.03125,250,500,50
12,0,58,990,28.06250,500,500,50
12,0,65,1500,8.14062,100,100,100
12,0,65,1500,8.04688,250,100,100
12,0,65,1500,8.10938,500,100,100
12,0,65,1503,20.73438,100,250,100
12,0,65,1503,20.17188,250,250,100
12,0,65,1503,20.21875,500,250,100
12,0,61,1418,39.20312,100,500,100
12,0,61,1418,39.20312,250,500,100
12,0,61,1418,39.26562,500,500,100
8,0,71,355,2.03125,100,100,10
8,0,71,355,2.06250,250,100,10
8,0,71,355,2.04688,500,100,10
8,0,70,354,5.06250,100,250,10
8,0,70,354,5.06250,250,250,10
8,0,70,354,5.03125,500,250,10
8,0,73,367,10.25000,100,500,10
8,0,73,367,10.31250,250,500,10
8,0,73,367,10.25000,500,500,10
8,0,74,823,4.57812,100,100,25
8,0,74,823,4.60938,250,100,25
8,0,74,823,4.59375,500,100,25
8,0,68,752,10.87500,100,250,25
8,0,68,752,10.87500,250,250,25
8,0,68,752,10.89062,500,250,25
8,0,70,770,21.96875,100,500,25
8,0,70,770,21.98438,250,500,25
8,0,70,770,21.92188,500,500,25
8,0,72,1240,6.98438,100,100,50
8,0,72,1240,7.03125,250,100,50
8,0,72,1240,7.03125,500,100,50
8,0,69,1173,16.96875,100,250,50
8,0,69,1173,16.98438,250,250,50
8,0,69,1173,17.00000,500,250,50
8,0,67,1139,33.48438,100,500,50
8,0,67,1139,33.34375,250,500,50
8,0,67,1139,33.42188,500,500,50
8,0,71,1655,9.34375,100,100,100
8,0,71,1655,9.32812,250,100,100
8,0,71,1655,9.32812,500,100,100
8,0,73,1679,23.54688,100,250,100
8,0,73,1679,23.53125,250,250,100
8,0,73,1679,23.53125,500,250,100
8,0,66,1522,44.95312,100,500,100
8,0,66,1522,44.93750,250,500,100
8,0,66,1522,45.42188,500,500,100
12,0,68,341,1.82812,100,100,10
12,0,68,341,1.82812,250,100,10
12,0,68,341,1.79688,500,100,10
12,0,65,325,4.40625,100,250,10
12,0,65,325,4.45312,250,250,10
12,0,65,325,4.43750,500,250,10
12,0,62,311,8.59375,100,500,10
12,0,62,311,8.59375,250,500,10
12,0,62,311,8.70312,500,500,10
12,0,59,654,3.75000,100,100,25
12,0,59,654,3.73438,250,100,25
12,0,59,654,3.71875,500,100,25
12,0,67,738,9.87500,100,250,25
12,0,67,738,9.98438,250,250,25
12,0,67,738,9.87500,500,250,25
12,0,61,672,18.79688,100,500,25
12,0,61,672,18.89062,250,500,25
12,0,61,672,18.82812,500,500,25
12,0,69,1173,6.20312,100,100,50
12,0,69,1173,6.15625,250,100,50
12,0,69,1173,6.18750,500,100,50
12,0,61,1046,14.54688,100,250,50
12,0,61,1046,14.70312,250,250,50
12,0,61,1046,14.54688,500,250,50
12,0,58,990,28.12500,100,500,50
12,0,58,990,28.18750,250,500,50
12,0,58,990,28.15625,500,500,50
12,0,65,1500,8.09375,100,100,100
12,0,65,1500,8.07812,250,100,100
12,0,65,1500,8.09375,500,100,100
12,0,65,1503,20.73438,100,250,100
12,0,65,1503,20.28125,250,250,100
12,0,65,1503,20.26562,500,250,100
12,0,61,1418,39.34375,100,500,100
12,0,61,1418,39.31250,250,500,100
12,0,61,1418,39.32812,500,500,100
8,0,71,355,2.04688,100,100,10
8,0,71,355,2.06250,250,100,10
8,0,71,355,2.04688,500,100,10
8,0,70,354,5.03125,100,250,10
8,0,70,354,5.06250,250,250,10
8,0,70,354,5.06250,500,250,10
8,0,73,367,10.26562,100,500,10
8,0,73,367,10.29688,250,500,10
8,0,73,367,10.28125,500,500,10
8,0,74,823,4.59375,100,100,25
8,0,74,823,4.57812,250,100,25
8,0,74,823,4.57812,500,100,25
8,0,68,752,10.87500,100,250,25
8,0,68,752,10.90625,250,250,25
8,0,68,752,11.39062,500,250,25
8,0,70,770,21.96875,100,500,25
8,0,70,770,22.01562,250,500,25
8,0,70,770,22.21875,500,500,25
8,0,72,1240,7.01562,100,100,50
8,0,72,1240,7.01562,250,100,50
8,0,72,1240,7.01562,500,100,50
8,0,69,1173,16.96875,100,250,50
8,0,69,1173,17.01562,250,250,50
8,0,69,1173,16.98438,500,250,50
8,0,67,1139,33.29688,100,500,50
8,0,67,1139,33.37500,250,500,50
8,0,67,1139,34.56250,500,500,50
8,0,71,1655,9.42188,100,100,100
8,0,71,1655,9.40625,250,100,100
8,0,71,1655,9.45312,500,100,100
8,0,73,1679,23.51562,100,250,100
8,0,73,1679,23.45312,250,250,100
8,0,73,1679,23.50000,500,250,100
8,0,66,1522,45.14062,100,500,100
8,0,66,1522,44.98438,250,500,100
8,0,66,1522,45.06250,500,500,100
12,0,68,341,1.79688,100,100,10
12,0,68,341,1.79688,250,100,10
12,0,68,341,1.79688,500,100,10
12,0,65,325,4.42188,100,250,10
12,0,65,325,4.40625,250,250,10
12,0,65,325,4.40625,500,250,10
12,0,62,311,8.57812,100,500,10
12,0,62,311,8.57812,250,500,10
12,0,62,311,8.62500,500,500,10
12,0,59,654,3.68750,100,100,25
12,0,59,654,3.75000,250,100,25
12,0,59,654,3.71875,500,100,25
12,0,67,738,9.81250,100,250,25
12,0,67,738,9.90625,250,250,25
12,0,67,738,9.85938,500,250,25
12,0,61,672,18.84375,100,500,25
12,0,61,672,18.78125,250,500,25
12,0,61,672,18.82812,500,500,25
12,0,69,1173,6.17188,100,100,50
12,0,69,1173,6.18750,250,100,50
12,0,69,1173,6.15625,500,100,50
12,0,61,1046,14.57812,100,250,50
12,0,61,1046,14.54688,250,250,50
12,0,61,1046,14.56250,500,250,50
12,0,58,990,28.07812,100,500,50
12,0,58,990,28.01562,250,500,50
12,0,58,990,28.09375,500,500,50
12,0,65,1500,8.07812,100,100,100
12,0,65,1500,8.10938,250,100,100
12,0,65,1500,8.06250,500,100,100
12,0,65,1503,20.25000,100,250,100
12,0,65,1503,20.25000,250,250,100
12,0,65,1503,20.25000,500,250,100
12,0,61,1418,39.21875,100,500,100
12,0,61,1418,39.14062,250,500,100
12,0,61,1418,39.32812,500,500,100
8,0,71,355,2.06250,100,100,10
8,0,71,355,2.04688,250,100,10
8,0,71,355,2.04688,500,100,10
8,0,70,354,5.06250,100,250,10
8,0,70,354,5.09375,250,250,10
8,0,70,354,5.03125,500,250,10
8,0,73,367,10.28125,100,500,10
8,0,73,367,10.25000,250,500,10
8,0,73,367,10.28125,500,500,10
8,0,74,823,4.57812,100,100,25
8,0,74,823,4.59375,250,100,25
8,0,74,823,4.59375,500,100,25
8,0,68,752,10.90625,100,250,25
8,0,68,752,10.92188,250,250,25
8,0,68,752,10.85938,500,250,25
8,0,70,770,22.00000,100,500,25
8,0,70,770,21.95312,250,500,25
8,0,70,770,21.93750,500,500,25
8,0,72,1240,7.01562,100,100,50
8,0,72,1240,7.01562,250,100,50
8,0,72,1240,7.03125,500,100,50
8,0,69,1173,17.00000,100,250,50
8,0,69,1173,16.98438,250,250,50
8,0,69,1173,16.96875,500,250,50
8,0,67,1139,33.34375,100,500,50
8,0,67,1139,33.42188,250,500,50
8,0,67,1139,33.39062,500,500,50
8,0,71,1655,9.37500,100,100,100
8,0,71,1655,9.35938,250,100,100
8,0,71,1655,9.32812,500,100,100
8,0,73,1679,23.50000,100,250,100
8,0,73,1679,23.57812,250,250,100
8,0,73,1679,23.50000,500,250,100
8,0,66,1522,44.96875,100,500,100
8,0,66,1522,44.87500,250,500,100
8,0,66,1522,44.89062,500,500,100
12,0,68,341,2.51562,100,100,10
12,0,68,341,2.43750,250,100,10
12,0,68,341,2.50000,500,100,10
12,0,65,325,7.84375,100,250,10
12,0,65,325,7.78125,250,250,10
12,0,65,325,7.98438,500,250,10
12,0,62,311,16.75000,100,500,10
12,0,62,311,12.34375,250,500,10
12,0,62,311,11.03125,500,500,10
12,0,59,654,4.64062,100,100,25
12,0,59,654,4.62500,250,100,25
12,0,59,654,4.60938,500,100,25
12,0,67,738,12.18750,100,250,25
12,0,67,738,12.20312,250,250,25
12,0,67,738,12.15625,500,250,25
12,0,61,672,23.34375,100,500,25
12,0,61,672,23.32812,250,500,25
12,0,61,672,23.23438,500,500,25
12,0,69,1173,7.64062,100,100,50
12,0,69,1173,7.65625,250,100,50
12,0,69,1173,7.65625,500,100,50
12,0,61,1046,18.00000,100,250,50
12,0,61,1046,18.07812,250,250,50
12,0,61,1046,18.04688,500,250,50
12,0,58,990,35.07812,100,500,50
12,0,58,990,34.81250,250,500,50
12,0,58,990,35.01562,500,500,50
12,0,65,1500,9.98438,100,100,100
12,0,65,1500,10.00000,250,100,100
12,0,65,1500,10.01562,500,100,100
12,0,65,1503,25.14062,100,250,100
12,0,65,1503,25.12500,250,250,100
12,0,65,1503,25.18750,500,250,100
12,0,61,1418,48.81250,100,500,100
12,0,61,1418,48.78125,250,500,100
12,0,61,1418,48.81250,500,500,100
8,0,71,355,2.01562,100,100,10
8,0,71,355,2.03125,250,100,10
8,0,71,355,2.03125,500,100,10
8,0,70,354,4.98438,100,250,10
8,0,70,354,5.01562,250,250,10
8,0,70,354,5.00000,500,250,10
8,0,73,367,10.50000,100,500,10
8,0,73,367,10.20312,250,500,10
8,0,73,367,10.20312,500,500,10
8,0,74,823,4.57812,100,100,25
8,0,74,823,4.53125,250,100,25
8,0,74,823,4.56250,500,100,25
8,0,68,752,10.81250,100,250,25
8,0,68,752,10.98438,250,250,25
8,0,68,752,10.87500,500,250,25
8,0,70,770,22.28125,100,500,25
8,0,70,770,21.78125,250,500,25
8,0,70,770,21.79688,500,500,25
8,0,72,1240,6.98438,100,100,50
8,0,72,1240,6.93750,250,100,50
8,0,72,1240,6.95312,500,100,50
8,0,69,1173,17.17188,100,250,50
8,0,69,1173,16.89062,250,250,50
8,0,69,1173,16.89062,500,250,50
8,0,67,1139,33.12500,100,500,50
8,0,67,1139,33.09375,250,500,50
8,0,67,1139,33.09375,500,500,50
8,0,71,1655,9.31250,100,100,100
8,0,71,1655,9.29688,250,100,100
8,0,71,1655,9.31250,500,100,100
8,0,73,1679,23.35938,100,250,100
8,0,73,1679,23.32812,250,250,100
8,0,73,1679,23.39062,500,250,100
8,0,66,1522,44.56250,100,500,100
8,0,66,1522,44.53125,250,500,100
8,0,66,1522,44.53125,500,500,100
12,0,68,341,1.78125,100,100,10
12,0,68,341,1.78125,250,100,10
12,0,68,341,1.78125,500,100,10
12,0,65,325,4.37500,100,250,10
12,0,65,325,4.37500,250,250,10
12,0,65,325,4.35938,500,250,10
12,0,62,311,8.50000,100,500,10
12,0,62,311,8.50000,250,500,10
12,0,62,311,8.50000,500,500,10
12,0,59,654,3.79688,100,100,25
12,0,59,654,3.71875,250,100,25
12,0,59,654,3.70312,500,100,25
12,0,67,738,9.75000,100,250,25
12,0,67,738,9.76562,250,250,25
12,0,67,738,9.78125,500,250,25
12,0,61,672,18.68750,100,500,25
12,0,61,672,18.60938,250,500,25
12,0,61,672,18.76562,500,500,25
12,0,69,1173,6.12500,100,100,50
12,0,69,1173,6.12500,250,100,50
12,0,69,1173,6.17188,500,100,50
12,0,61,1046,14.46875,100,250,50
12,0,61,1046,14.40625,250,250,50
12,0,61,1046,14.67188,500,250,50
12,0,58,990,27.82812,100,500,50
12,0,58,990,27.84375,250,500,50
12,0,58,990,27.92188,500,500,50
12,0,65,1500,8.03125,100,100,100
12,0,65,1500,8.01562,250,100,100
12,0,65,1500,8.03125,500,100,100
12,0,65,1503,20.07812,100,250,100
12,0,65,1503,20.09375,250,250,100
12,0,65,1503,20.18750,500,250,100
12,0,61,1418,38.95312,100,500,100
12,0,61,1418,38.92188,250,500,100
12,0,61,1418,38.89062,500,500,100
8,0,71,355,2.04688,100,100,10
8,0,71,355,2.04688,250,100,10
8,0,71,355,2.03125,500,100,10
8,0,70,354,5.03125,100,250,10
8,0,70,354,5.01562,250,250,10
8,0,70,354,5.01562,500,250,10
8,0,73,367,10.21875,100,500,10
8,0,73,367,10.23438,250,500,10
8,0,73,367,10.20312,500,500,10
8,0,74,823,4.56250,100,100,25
8,0,74,823,4.56250,250,100,25
8,0,74,823,4.56250,500,100,25
8,0,68,752,10.81250,100,250,25
8,0,68,752,10.81250,250,250,25
8,0,68,752,10.81250,500,250,25
8,0,70,770,21.78125,100,500,25
8,0,70,770,21.78125,250,500,25
8,0,70,770,21.78125,500,500,25
8,0,72,1240,6.96875,100,100,50
8,0,72,1240,6.95312,250,100,50
8,0,72,1240,6.96875,500,100,50
