num_colors,num_conflicts,num_spilling,num_iter,time,converge,equilibrio,temp
8,0,164,823,21.54688,100,100,10
8,0,164,823,21.56250,250,100,10
8,0,164,823,21.56250,500,100,10
8,0,156,780,51.87500,100,250,10
8,0,156,780,51.76562,250,250,10
8,0,156,780,51.81250,500,250,10
8,0,146,732,99.59375,100,500,10
8,0,146,732,99.32812,250,500,10
8,0,146,732,99.46875,500,500,10
8,0,171,1883,47.98438,100,100,25
8,0,171,1883,48.10938,250,100,25
8,0,171,1883,48.04688,500,100,25
8,0,142,1571,108.00000,100,250,25
8,0,142,1571,107.98438,250,250,25
8,0,142,1571,107.89062,500,250,25
8,0,151,1667,223.42188,100,500,25
8,0,151,1667,222.87500,250,500,25
8,0,151,1667,222.54688,500,500,25
8,0,159,2718,71.14062,100,100,50
8,0,159,2718,71.21875,250,100,50
8,0,159,2718,71.15625,500,100,50
8,0,153,2615,173.82812,100,250,50
8,0,153,2615,178.06250,250,250,50
8,0,153,2615,173.89062,500,250,50
8,0,158,2700,353.42188,100,500,50
8,0,158,2700,353.32812,250,500,50
8,0,158,2700,353.43750,500,500,50
8,0,156,3608,95.20312,100,100,100
8,0,156,3608,95.07812,250,100,100
8,0,156,3608,95.34375,500,100,100
8,0,148,3426,230.26562,100,250,100
8,0,148,3426,230.79688,250,250,100
8,0,148,3426,230.68750,500,250,100
8,0,154,3556,472.82812,100,500,100
8,0,154,3556,471.37500,250,500,100
8,0,154,3556,471.42188,500,500,100
12,0,151,759,18.32812,100,100,10
12,0,151,759,18.28125,250,100,10
12,0,151,759,18.28125,500,100,10
12,0,136,682,42.39062,100,250,10
12,0,136,682,42.39062,250,250,10
12,0,136,682,42.45312,500,250,10
12,0,146,730,88.45312,100,500,10
12,0,146,730,88.46875,250,500,10
12,0,146,730,88.50000,500,500,10
12,0,146,1611,39.15625,100,100,25
12,0,146,1611,39.10938,250,100,25
12,0,146,1611,39.07812,500,100,25
12,0,128,1417,90.15625,100,250,25
12,0,128,1417,90.10938,250,250,25
12,0,128,1417,90.04688,500,250,25
12,0,142,1566,191.45312,100,500,25
12,0,142,1566,191.03125,250,500,25
12,0,142,1566,191.37500,500,500,25
12,0,141,2397,58.81250,100,100,50
12,0,141,2397,58.75000,250,100,50
12,0,141,2397,58.64062,500,100,50
12,0,146,2482,149.82812,100,250,50
12,0,146,2482,149.65625,250,250,50
12,0,146,2482,149.57812,500,250,50
12,0,141,2408,295.23438,100,500,50
12,0,141,2408,295.39062,250,500,50
12,0,141,2408,295.23438,500,500,50
12,0,139,3201,79.06250,100,100,100
12,0,139,3201,79.04688,250,100,100
12,0,139,3201,79.23438,500,100,100
12,0,145,3350,202.50000,100,250,100
12,0,145,3350,202.48438,250,250,100
12,0,145,3350,202.75000,500,250,100
12,0,141,3243,397.43750,100,500,100
12,0,141,3243,397.70312,250,500,100
12,0,141,3243,396.90625,500,500,100
8,0,164,823,45.34375,100,100,10
8,0,164,823,44.87500,250,100,10
8,0,164,823,45.32812,500,100,10
8,0,156,780,110.65625,100,250,10
8,0,156,780,111.31250,250,250,10
8,0,156,780,111.50000,500,250,10
8,0,146,732,214.35938,100,500,10
8,0,146,732,215.59375,250,500,10
8,0,146,732,192.29688,500,500,10
8,0,171,1883,47.92188,100,100,25
8,0,171,1883,47.92188,250,100,25
8,0,171,1883,47.84375,500,100,25
8,0,142,1571,107.84375,100,250,25
8,0,142,1571,107.67188,250,250,25
8,0,142,1571,107.60938,500,250,25
8,0,151,1667,222.53125,100,500,25
8,0,151,1667,222.59375,250,500,25
8,0,151,1667,222.37500,500,500,25
8,0,159,2718,71.06250,100,100,50
8,0,159,2718,71.04688,250,100,50
8,0,159,2718,70.98438,500,100,50
8,0,153,2615,173.87500,100,250,50
8,0,153,2615,173.92188,250,250,50
8,0,153,2615,175.76562,500,250,50
8,0,158,2700,353.23438,100,500,50
8,0,158,2700,354.78125,250,500,50
8,0,158,2700,353.42188,500,500,50
8,0,156,3608,95.07812,100,100,100
8,0,156,3608,95.07812,250,100,100
8,0,156,3608,95.12500,500,100,100
8,0,148,3426,230.96875,100,250,100
8,0,148,3426,230.60938,250,250,100
8,0,148,3426,230.60938,500,250,100
8,0,154,3556,471.21875,100,500,100
8,0,154,3556,471.00000,250,500,100
8,0,154,3556,471.48438,500,500,100
12,0,151,759,18.18750,100,100,10
12,0,151,759,18.15625,250,100,10
12,0,151,759,18.12500,500,100,10
12,0,136,682,42.35938,100,250,10
12,0,136,682,42.23438,250,250,10
12,0,136,682,42.60938,500,250,10
12,0,146,730,88.42188,100,500,10
12,0,146,730,88.17188,250,500,10
12,0,146,730,88.07812,500,500,10
12,0,146,1611,38.93750,100,100,25
12,0,146,1611,39.15625,250,100,25
12,0,146,1611,39.00000,500,100,25
12,0,128,1417,90.21875,100,250,25
12,0,128,1417,90.03125,250,250,25
12,0,128,1417,89.96875,500,250,25
12,0,142,1566,191.34375,100,500,25
12,0,142,1566,191.81250,250,500,25
12,0,142,1566,191.15625,500,500,25
12,0,141,2397,58.65625,100,100,50
12,0,141,2397,58.64062,250,100,50
12,0,141,2397,58.65625,500,100,50
12,0,146,2482,150.39062,100,250,50
12,0,146,2482,149.67188,250,250,50
12,0,146,2482,149.82812,500,250,50
12,0,141,2408,295.03125,100,500,50
12,0,141,2408,294.93750,250,500,50
12,0,141,2408,294.98438,500,500,50
12,0,139,3201,79.31250,100,100,100
12,0,139,3201,78.85938,250,100,100
12,0,139,3201,78.90625,500,100,100
12,0,145,3350,202.48438,100,250,100
12,0,145,3350,202.81250,250,250,100
12,0,145,3350,203.20312,500,250,100
12,0,141,3243,397.73438,100,500,100
12,0,141,3243,396.67188,250,500,100
12,0,141,3243,397.28125,500,500,100
8,0,164,823,21.45312,100,100,10
8,0,164,823,21.43750,250,100,10
8,0,164,823,21.43750,500,100,10
8,0,156,780,51.71875,100,250,10
8,0,156,780,51.78125,250,250,10
8,0,156,780,51.68750,500,250,10
8,0,146,732,99.39062,100,500,10
8,0,146,732,99.31250,250,500,10
8,0,146,732,99.42188,500,500,10
8,0,171,1883,47.93750,100,100,25
8,0,171,1883,47.96875,250,100,25
8,0,171,1883,47.93750,500,100,25
8,0,142,1571,107.89062,100,250,25
8,0,142,1571,107.75000,250,250,25
8,0,142,1571,107.68750,500,250,25
