num_colors,num_conflicts,num_spilling,num_iter,time,converge,equilibrio,temp
8,0,67,337,2.25000,100,100,10
8,0,67,337,2.28125,250,100,10
8,0,67,337,2.39062,500,100,10
8,0,62,314,5.51562,100,250,10
8,0,62,314,5.57812,250,250,10
8,0,62,314,5.54688,500,250,10
8,0,64,320,11.17188,100,500,10
8,0,64,320,11.06250,250,500,10
8,0,64,320,11.03125,500,500,10
8,0,67,745,5.15625,100,100,25
8,0,67,745,5.07812,250,100,25
8,0,67,745,5.14062,500,100,25
8,0,64,710,12.20312,100,250,25
8,0,64,710,12.12500,250,250,25
8,0,64,710,12.21875,500,250,25
8,0,61,678,23.64062,100,500,25
8,0,61,678,23.57812,250,500,25
8,0,61,678,23.68750,500,500,25
8,0,61,1048,7.34375,100,100,50
8,0,61,1048,7.37500,250,100,50
8,0,61,1048,7.43750,500,100,50
8,0,60,1031,18.06250,100,250,50
8,0,60,1031,18.03125,250,250,50
8,0,60,1031,18.15625,500,250,50
8,0,63,1080,36.98438,100,500,50
8,0,63,1080,36.98438,250,500,50
8,0,63,1080,37.12500,500,500,50
8,0,64,1478,10.20312,100,100,100
8,0,64,1478,10.17188,250,100,100
8,0,64,1478,10.25000,500,100,100
8,0,59,1360,24.00000,100,250,100
8,0,59,1360,24.12500,250,250,100
8,0,59,1360,24.03125,500,250,100
8,0,60,1393,48.71875,100,500,100
8,0,60,1393,48.78125,250,500,100
8,0,60,1393,48.73438,500,500,100
12,0,60,301,2.92188,100,100,10
12,0,60,301,2.81250,250,100,10
12,0,60,301,3.14062,500,100,10
12,0,59,298,8.89062,100,250,10
12,0,59,298,8.98438,250,250,10
12,0,59,298,8.90625,500,250,10
12,0,59,296,19.31250,100,500,10
12,0,59,296,19.37500,250,500,10
12,0,59,296,19.18750,500,500,10
12,0,61,676,7.82812,100,100,25
12,0,61,676,7.96875,250,100,25
12,0,61,676,7.95312,500,100,25
12,0,58,643,20.95312,100,250,25
12,0,58,643,21.34375,250,250,25
12,0,58,643,21.29688,500,250,25
12,0,57,632,43.57812,100,500,25
12,0,57,632,43.42188,250,500,25
12,0,57,632,43.37500,500,500,25
12,0,56,952,12.07812,100,100,50
12,0,56,952,11.95312,250,100,50
12,0,56,952,12.57812,500,100,50
12,0,56,968,32.82812,100,250,50
12,0,56,968,32.96875,250,250,50
12,0,56,968,32.71875,500,250,50
12,0,61,1044,70.85938,100,500,50
12,0,61,1044,71.10938,250,500,50
12,0,61,1044,70.00000,500,500,50
12,0,62,1438,18.06250,100,100,100
12,0,62,1438,17.90625,250,100,100
12,0,62,1438,18.07812,500,100,100
12,0,59,1361,46.31250,100,250,100
12,0,59,1361,46.31250,250,250,100
12,0,59,1361,46.57812,500,250,100
12,0,57,1319,91.40625,100,500,100
12,0,57,1319,91.93750,250,500,100
12,0,57,1319,91.90625,500,500,100
8,0,67,337,2.23438,100,100,10
8,0,67,337,2.28125,250,100,10
8,0,67,337,2.28125,500,100,10
8,0,62,314,5.42188,100,250,10
8,0,62,314,5.45312,250,250,10
8,0,62,314,5.43750,500,250,10
8,0,64,320,10.98438,100,500,10
8,0,64,320,10.96875,250,500,10
8,0,64,320,10.98438,500,500,10
8,0,67,745,4.98438,100,100,25
8,0,67,745,5.00000,250,100,25
8,0,67,745,5.00000,500,100,25
8,0,64,710,12.12500,100,250,25
8,0,64,710,12.12500,250,250,25
8,0,64,710,12.09375,500,250,25
8,0,61,678,23.51562,100,500,25
8,0,61,678,23.60938,250,500,25
8,0,61,678,23.57812,500,500,25
8,0,61,1048,7.29688,100,100,50
8,0,61,1048,7.26562,250,100,50
8,0,61,1048,7.26562,500,100,50
8,0,60,1031,17.95312,100,250,50
8,0,60,1031,17.98438,250,250,50
8,0,60,1031,18.00000,500,250,50
8,0,63,1080,36.95312,100,500,50
8,0,63,1080,36.87500,250,500,50
