num_colors,num_conflicts,num_spilling,num_iter,time,converge,equilibrio,temp
8,0,157,789,23.76562,100,100,10
8,0,157,789,23.68750,250,100,10
8,0,157,789,23.65625,500,100,10
8,0,167,839,60.92188,100,250,10
8,0,167,839,61.96875,250,250,10
8,0,167,839,60.89062,500,250,10
8,0,166,834,121.87500,100,500,10
8,0,166,834,121.46875,250,500,10
8,0,166,834,121.26562,500,500,10
8,0,167,1845,53.59375,100,100,25
8,0,167,1845,53.54688,250,100,25
8,0,167,1845,53.62500,500,100,25
8,0,155,1713,127.85938,100,250,25
8,0,155,1713,127.71875,250,250,25
8,0,155,1713,127.84375,500,250,25
8,0,154,1695,253.60938,100,500,25
8,0,154,1695,253.53125,250,500,25
8,0,154,1695,253.60938,500,500,25
8,0,149,2542,77.25000,100,100,50
8,0,149,2542,77.26562,250,100,50
8,0,149,2542,77.37500,500,100,50
8,0,143,2433,188.43750,100,250,50
8,0,143,2433,188.35938,250,250,50
8,0,143,2433,189.20312,500,250,50
8,0,148,2527,384.92188,100,500,50
8,0,148,2527,385.26562,250,500,50
8,0,148,2527,385.12500,500,500,50
8,0,151,3492,105.92188,100,100,100
8,0,151,3492,105.37500,250,100,100
8,0,151,3492,105.84375,500,100,100
8,0,152,3518,264.12500,100,250,100
8,0,152,3518,263.96875,250,250,100
8,0,152,3518,263.87500,500,250,100
8,0,143,3303,508.46875,100,500,100
8,0,143,3303,508.32812,250,500,100
8,0,143,3303,508.28125,500,500,100
12,0,157,785,21.18750,100,100,10
12,0,157,785,21.04688,250,100,10
12,0,157,785,21.17188,500,100,10
12,0,150,750,50.78125,100,250,10
12,0,150,750,50.81250,250,250,10
12,0,150,750,50.78125,500,250,10
12,0,143,715,98.37500,100,500,10
12,0,143,715,98.53125,250,500,10
12,0,143,715,98.45312,500,500,10
12,0,161,1781,47.03125,100,100,25
12,0,161,1781,46.96875,250,100,25
12,0,161,1781,47.00000,500,100,25
12,0,143,1579,108.76562,100,250,25
12,0,143,1579,108.68750,250,250,25
12,0,143,1579,108.65625,500,250,25
12,0,135,1495,208.95312,100,500,25
12,0,135,1495,208.65625,250,500,25
12,0,135,1495,208.81250,500,500,25
12,0,146,2497,68.21875,100,100,50
12,0,146,2497,68.12500,250,100,50
12,0,146,2497,68.18750,500,100,50
12,0,149,2536,171.62500,100,250,50
12,0,149,2536,171.39062,250,250,50
12,0,149,2536,171.81250,500,250,50
12,0,141,2397,330.65625,100,500,50
12,0,141,2397,330.50000,250,500,50
12,0,141,2397,330.20312,500,500,50
12,0,153,3521,94.75000,100,100,100
